Feature,Score,P_Value,Selected
tenure,997.2680104991426,7.999057960596274e-205,True
InternetService_Fiber optic,738.0460424544476,1.2007837916257311e-154,True
Contract_Two year,707.9192540580779,1.0481341179218971e-148,True
PaymentMethod_Electronic check,706.1950282817295,2.2968899851052175e-148,True
InternetService_No,385.6985884848515,1.2005035459925741e-83,True
OnlineSecurity_No internet service,385.6985884848515,1.2005035459925741e-83,True
DeviceProtection_No internet service,385.6985884848515,1.2005035459925741e-83,True
TechSupport_No internet service,385.6985884848515,1.2005035459925741e-83,True
StreamingMovies_No internet service,385.6985884848515,1.2005035459925741e-83,True
StreamingTV_No internet service,385.6985884848515,1.2005035459925741e-83,True
OnlineBackup_No internet service,385.6985884848515,1.2005035459925741e-83,True
TotalCharges,290.4398308806035,7.50860905668966e-64,True
MonthlyCharges,273.46370420771046,2.7066456068918494e-60,True
PaperlessBilling_Yes,268.9852180928093,2.356554320584291e-59,True
Contract_One year,229.90574088120178,3.986595493852669e-51,True
OnlineSecurity_Yes,212.66619940319887,1.7632588168537773e-47,False
TechSupport_Yes,196.25540507248175,5.322253267504916e-44,False
Dependents_Yes,195.1493137732415,9.140432989087347e-44,False
SeniorCitizen,164.04142445613567,3.8398600557847846e-37,False
Partner_Yes,163.06003598399556,6.220731129620315e-37,False
PaymentMethod_Credit card (automatic),129.33097463289684,1.0415433633620134e-29,False
PaymentMethod_Mailed check,59.68654545516675,1.266730548546129e-14,False
OnlineBackup_Yes,47.96295545820452,4.727291732054918e-12,False
DeviceProtection_Yes,30.954780439130214,2.7381602498191357e-08,False
StreamingTV_Yes,28.261123665052395,1.0926020701636036e-07,False
StreamingMovies_Yes,26.628665202834036,2.532995278909525e-07,False
MultipleLines_Yes,11.341439011576513,0.000762029131511252,False
MultipleLines_No phone service,1.004266474791965,0.31631478134319324,False
PhoneService_Yes,1.0042664747911525,0.31631478134338903,False
gender_Male,0.5222569018409975,0.4699045390977438,False
